protocol,address,date,type,subject,body,toa,sc_toa,service_center,read,status,locked,date_sent,sub_id,readable_date,contact_name
0,MoovMoney,1760730074142,1,,"Vous avez credite DANA NASSOUR (23530619288) de 11.000,00 FCFA Le 17-10-2025 20:41:13.
Commission: 55,16 FCFA
Votre solde est de 80.289,63 FCFA. 
Ref: CJH21DWCN6.",,,00000000000,1,-1,0,1760730073000,1,17 oct. 2025 20:41:14,(Unknown)
0,MoovMoney,1760762967165,1,,"Le numero 23594346715 vous a achete le forfait 3GB-48H via Moov Money: 1.000,00 FCFA. Consultez votre solde via *100#. 
Ref: CJI91DXFJ3.",,,00000000000,1,-1,0,1760762965000,1,18 oct. 2025 05:49:27,(Unknown)
0,MoovMoney,1760765513784,1,,"Vous avez credite SALEH NGARLEMDANA (23594896201) de 80.000,00 FCFA Le 18-10-2025 06:31:52.
Commission: 234,41 FCFA
Votre solde est de 289,63 FCFA. 
Ref: CJI11DXLZX.",,,00000000000,1,-1,0,1760765512000,1,18 oct. 2025 06:31:53,(Unknown)
0,MoovMoney,1760765556960,1,,"Vous avez credite ACHTA SABOUN (23594346715) de 234,00 FCFA Le 18-10-2025 06:32:36.
Commission: 33,09 FCFA
Votre solde est de 55,63 FCFA. 
Ref: CJI91DXMUZ.",,,00000000000,1,-1,0,1760765556000,1,18 oct. 2025 06:32:36,(Unknown)
0,MoovMoney,1760782056667,1,,"Vous avez recu 200.000,00 FCFA de 91046136 - 91046136 - Assane Allamine le 18-10-2025 11:07:36.
Votre nouveau solde est de 200.055,63 FCFA 
Ref: CJI81E0SN2",,,00000000000,1,-1,0,1760782056000,1,18 oct. 2025 11:07:36,(Unknown)
0,MoovMoney,1760783154736,1,,"Vous avez credite Abdelkerim Saboun (23599393099) de 11.000,00 FCFA Le 18-10-2025 11:25:52.
Commission: 55,16 FCFA
Votre solde est de 189.055,63 FCFA. 
Ref: CJI11E13LB.",,,00000000000,1,-1,0,1760783153000,1,18 oct. 2025 11:25:54,(Unknown)
0,MoovMoney,1760783373955,1,,"Vous avez credite Fatime Ousmane (23595345673) de 7.000,00 FCFA Le 18-10-2025 11:29:32.
Commission: 41,37 FCFA
Votre solde est de 182.055,63 FCFA. 
Ref: CJI91E15DP.",,,00000000000,1,-1,0,1760783372000,1,18 oct. 2025 11:29:33,(Unknown)
0,MoovMoney,1760784408443,1,,"Vous avez credite Issa Djasrabe (23599911952) de 2.500,00 FCFA Le 18-10-2025 11:46:48.
Commission: 33,09 FCFA
Votre solde est de 179.555,63 FCFA. 
Ref: CJI71E1DX5.",,,00000000000,1,-1,0,1760784408000,1,18 oct. 2025 11:46:48,(Unknown)
0,MoovMoney,1760784684669,1,,"Vous avez credite HALIME KODBAYE (23590251377) de 2.500,00 FCFA Le 18-10-2025 11:51:24.
Commission: 33,09 FCFA
Votre solde est de 177.055,63 FCFA. 
Ref: CJI01E1GSU.",,,00000000000,1,-1,0,1760784684000,1,18 oct. 2025 11:51:24,(Unknown)
0,MoovMoney,1760785025542,1,,"Vous avez credite DAOUD KODBAYE (23599875093) de 11.000,00 FCFA Le 18-10-2025 11:57:05.
Commission: 55,16 FCFA
Votre solde est de 166.055,63 FCFA. 
Ref: CJI31E1K6L.",,,00000000000,1,-1,0,1760785025000,1,18 oct. 2025 11:57:05,(Unknown)
